SYMBOL,2D 1,2D 2,2D 3,2D 4,2D 5,3D 1,3D 2,3D 3,3D 4,3D 5,InVivo 1,InVivo 2,InVivo 3,InVivo 4
NFE2L1,9.211955649,9.228214294,9.201463542,9.20644779,9.21568686,9.324152556,9.423535893,9.333994803,9.323906826,9.403278325,8.64743394,8.662470513,8.625930212,8.727953486
NFE2L2,6.536966543,6.549381295,6.615991733,6.578008243,6.599020277,6.423211512,6.492078781,6.524057925,6.468484654,6.586646868,6.008453677,6.025222118,5.967086925,6.031818666
NFE2L3,4.508052116,4.554510333,4.491300459,4.425914772,4.286144508,3.571942486,3.760689206,3.769905481,3.688628903,3.753287911,4.688581423,4.338012704,4.739989533,5.003515705
NFIA,4.568402517,4.590305723,4.547626852,4.661132279,4.593299416,4.700923039,4.657040519,4.544225879,4.710651238,4.684688915,5.12733502,5.24613885,4.775377674,5.019614512
NFIB,5.330938645,5.243835943,5.175202618,5.381105912,5.274234587,5.168504638,5.036775072,5.242000422,5.204296701,5.244121653,5.976038592,5.989451457,5.840875802,6.061852109
NFIC,6.814552781,6.858069015,6.676575179,6.738366887,6.889257691,6.768416939,6.703818148,6.602605261,6.747233615,6.832820523,6.590484767,6.857778077,6.407906114,6.621447035
NFIL3,3.827356843,3.841090156,3.886163101,3.904989609,3.868086598,3.981195776,4.007789451,3.937963481,3.851996053,3.977739278,3.547015634,3.954258388,3.752075236,3.674386525
NFIX,4.296332951,4.173674313,4.038368493,4.140654225,4.210132852,4.826175088,4.905939687,4.750236065,4.765531721,4.851520658,5.012001369,5.203542112,4.860795203,5.093946009
NFKB1,5.862300098,5.687119095,5.752103382,5.757687601,5.911370995,5.739930652,5.887565119,5.857341757,5.811417693,5.907360286,5.87776538,5.947761579,5.903983458,5.932282036
NFKB2,6.15407543,5.830030995,6.108838836,6.011243191,6.245637289,6.671586931,6.725365724,6.696435886,6.609817131,6.748360166,6.757034682,6.7410082,6.704195175,6.960770219
NFKBIA,5.655963245,5.6885769,5.731328699,5.680098127,5.664810863,5.522814092,5.471410012,5.515882787,5.581875445,5.453749519,6.290396301,6.012940077,6.353231386,6.103764112
NFKBIB,6.242561769,6.261116509,6.352589981,6.256096386,6.33635436,5.748928008,5.917291703,5.878160368,5.938439171,5.881052597,5.8941442,6.027258998,5.90177651,5.846755452
NFKBID,1.468931344,1.222566397,1.789556253,1.572662036,1.789136354,1.183115232,1.718549436,1.294354341,1.287735997,1.519340297,1.777266468,1.354386566,2.008371661,2.052939726
NFKBIE,3.489535791,3.429197753,3.49929899,3.150161532,3.367033593,3.625033686,3.633609889,3.565465334,3.444476585,3.584595182,3.703899555,3.45028335,3.547065127,3.570224158
NFKBIL1,3.332027528,3.335530772,3.35993561,3.23292285,3.445212126,4.00475745,3.702278698,3.772378886,3.701480154,3.684200625,3.703899555,3.709019462,3.959400004,3.744437274
NFKBIZ,4.159483924,3.843273335,3.859502898,4.058753056,4.078688196,5.375675872,5.324245573,5.378141838,5.346077908,5.365594025,4.121818413,4.176095707,4.183057843,4.16119951
NFRKB,5.050422895,5.018951835,4.970989275,5.03184796,5.079975059,5.154277848,5.140319313,5.166909067,5.100421067,5.170255224,5.077071639,5.05438642,5.222652077,5.12666617
NFS1,5.572174119,5.726918065,5.709676508,5.732172384,5.645070419,5.352251257,5.441964171,5.445559263,5.420249976,5.393563339,5.175906025,5.381801034,5.149201587,5.191633714
NFU1,4.919793649,5.015083819,5.065534647,5.043359566,4.984461795,5.211085737,5.069877858,5.065679277,5.023701461,4.975826886,4.630261232,4.758313249,4.565552111,4.567687015
NFX1,6.137166355,6.019954253,6.01532319,6.057392759,6.108556375,6.306855738,6.32147403,6.213713395,6.249709585,6.303993759,6.26433682,6.236569246,6.347972454,6.077768672
NFXL1,3.690999921,3.556006257,3.718269725,3.713776596,3.666503705,3.713486682,3.692309489,3.610396705,3.465723917,3.553941104,3.757817017,3.692000766,3.837688608,3.700468408
NFYA,5.339411352,5.300866784,5.32287494,5.354068308,5.252655808,5.094356882,5.199584652,5.181871199,5.187951887,5.225763494,5.128539343,5.015241267,5.129532308,5.12666617
NFYB,5.726134171,5.741037311,5.8030369,5.809651674,5.682441459,5.400630558,5.289123143,5.512187893,5.371228025,5.196292749,5.266214676,5.235606994,5.133299571,5.28547582
NFYC,5.7209557,5.780763075,5.838122535,5.71582186,5.831280302,5.050556996,5.180990256,5.108398505,5.166793696,5.150926154,5.018512148,5.135933803,5.060972469,5.127540281
NGDN,5.35453795,5.345291633,5.442388056,5.399137985,5.514391088,4.81479467,4.856578692,4.801996022,4.816039244,4.718252698,4.903622707,4.933612801,4.934976183,4.797060628
NGEF,3.575249157,3.497325888,3.683615897,3.493291387,3.622956934,2.804994353,3.174369729,3.174736592,3.123930716,2.755054121,4.453183098,3.971286195,4.720086958,4.485525746
NGLY1,5.723547259,5.678830254,5.652289127,5.736906589,5.68980089,5.67007391,5.552176471,5.596261235,5.612816438,5.616863767,5.310395567,5.301045992,5.296748839,5.175664041
NGRN,7.587676323,7.623351887,7.561684673,7.557381547,7.605413602,7.431734696,7.439621804,7.367680374,7.313503068,7.295991712,7.363710328,7.496248531,7.399166322,7.362691409
NHEJ1,3.486487374,3.562381373,3.645710669,3.574123184,3.39881516,3.26137552,3.174369729,3.2547486,3.187428524,3.181293249,3.247812811,3.194002752,3.160758016,3.311796847
NHLRC1,1.758975624,1.459598981,1.101040447,1.096513931,1.164376224,2.012651197,2.02693111,1.499366599,2.100094031,1.785217499,2.372715467,2.333811258,2.10362099,1.992809752
NHLRC2,5.208630221,5.191329448,5.079818835,5.214597705,5.019929826,5.046508453,5.123724376,5.280737939,5.358302076,5.258451708,4.574794792,4.25005212,4.801656473,4.756951348
NHLRC3,3.841741702,3.728436482,3.800350829,3.837322699,3.742783175,4.599564563,4.356058949,4.412468929,4.491393217,4.512047422,4.728840949,4.566219509,4.610840565,4.488250457
NHP2,7.336391905,7.39059848,7.509711945,7.380237926,7.473051502,6.65013578,6.620842585,6.683680987,6.714958677,6.640524474,6.635230688,6.716812265,6.754593887,6.57285805
NHS,4.714951749,4.503518892,4.424313755,4.661843722,4.720910054,4.579530631,4.68997838,4.803206049,4.998930171,4.841402254,5.336685811,5.024787798,5.351139881,5.314168268
NHSL1,3.666966047,3.614439503,3.541194745,3.663510429,3.73746639,3.705292407,4.059117872,4.040025869,4.185949658,4.209781491,4.067596683,3.614637404,4.077515402,4.114347396
NHSL2,0.349999341,0.568366278,0.142517789,0.295531235,0.148897367,-0.531481282,-0.315362993,0.161523344,0.200752007,0.171571765,-0.818177636,-1.286970448,-0.247037312,0.022541458
NICN1,4.057959143,3.984080418,4.096831737,4.169706766,4.102264876,4.406926944,4.385993702,4.4767452,4.377815163,4.470173537,4.182380169,4.336261225,4.157035676,4.389071663
NID1,5.163535302,5.28489279,5.132159203,5.241022796,5.297303214,4.655925005,4.711115094,4.835498955,4.864838189,4.960715794,5.285777975,4.879018033,5.249802087,5.479395897
NID2,-0.503145714,-0.082223997,0.115039327,0.408360219,-0.29822886,-0.831811321,-0.903090089,-0.177234724,-1.549180194,-0.807422075,1.099906845,0.864528419,1.635978448,1.081883437
NIF3L1,4.908449513,4.927253173,4.961377708,4.963090768,4.958038662,4.121743031,4.110555437,4.201077475,4.171243328,4.161797516,4.491129477,4.545524858,4.440379119,4.507180694
NIFK,5.562797791,5.59994198,5.622106176,5.538527498,5.518013296,5.142946224,5.074682481,5.136511083,5.161222753,4.991925289,5.129742662,5.119479831,4.984827105,5.117015832
NIFK-AS1,1.197869502,1.539324182,1.403213105,1.38549284,1.285901622,1.401714002,1.218758987,1.134348429,1.502689941,1.480747767,1.675473737,1.74604098,1.525647285,1.449347511
NIN,6.41800926,6.532974338,6.30740293,6.432593258,6.477515592,6.078881523,6.254453437,6.250548826,6.419157713,6.347541155,6.240028267,6.008135347,6.516103052,6.341935443
NINJ1,5.44917426,5.5290207,5.451342488,5.412304279,5.47233535,5.213254391,5.27666716,5.225848504,5.242609051,5.226735559,4.880934565,4.952314595,4.826301993,4.878242034
NINL,4.699238252,4.666259692,4.550193916,4.524649185,4.807181595,5.352251257,5.293251353,5.172538066,5.211502045,5.306135931,5.824513396,6.029293006,5.976554759,5.956588183
NIP7,6.05723926,6.000131918,6.110579118,6.067361289,6.040028491,5.437580645,5.392024875,5.476226968,5.428003048,5.441241644,5.412798718,5.228542799,5.296748839,5.503164384
NIPA1,6.297950158,6.321245445,6.2944468,6.290315719,6.140798283,6.213887299,6.242547358,6.313043297,6.273141681,6.288715513,6.247253067,6.193684764,6.288822478,6.441245866
NIPA2,7.408425433,7.40056568,7.414127559,7.470004399,7.343146161,6.943651199,6.939359347,7.06483461,7.066692476,6.936867904,6.960423089,6.796599148,6.927545035,6.89350387
NIPAL2,3.586681924,3.638775533,3.525626064,3.546652467,3.453882939,4.724427757,4.73559173,4.886623194,4.665454738,4.572939222,4.730428195,4.642612676,4.586314173,4.484161458
NIPAL3,5.554088295,5.498871001,5.43754332,5.566911729,5.467526438,6.534063619,6.680368646,6.600518825,6.630123725,6.573716868,5.333556161,4.82851875,4.97541358,4.692254538
NIPAL4,2.470409437,1.949172776,2.247396567,1.817070092,2.557168032,0.38382677,0.399506832,0.191404228,0.200752007,0.171571765,2.22740944,1.517834249,2.171145662,2.81769508
NIPBL,5.854045189,5.809632337,5.72282056,5.983055544,5.954016751,5.971089255,6.081925082,6.102128092,6.17519797,6.279376606,6.045904397,5.83523032,6.103927088,6.122738672
NIPSNAP1,7.011379079,7.134486063,7.125931879,6.993924403,7.067735632,6.47323182,6.435680031,6.43982009,6.362431169,6.434250611,6.406145406,6.531203209,6.43028096,6.453148863
NIPSNAP3A,4.477670811,4.493545571,4.428505591,4.610438719,4.423808818,4.810026205,4.698719268,4.888904526,4.691454421,4.643062439,4.5281033,4.391701705,4.57250605,4.508523397
NIPSNAP3B,0.653124543,0.042435796,0.518277653,0.914874379,0.426303222,1.291633499,0.597739394,0.747459083,1.06176908,0.87797668,1.817608113,2.250616169,1.85812176,2.091438801
NISCH,4.948877605,4.610954292,4.74203658,4.848399554,4.97620941,5.503450714,5.51094108,5.308271398,5.368007379,5.589919873,5.808071653,5.974750388,5.852349389,5.971756707
NIT1,5.46629603,5.512104784,5.477202755,5.411458457,5.479784163,5.332435949,5.401234271,5.366729233,5.292725398,5.37526976,5.312516507,5.421577181,5.280703003,5.247382048
NIT2,6.144920816,6.05126526,6.101419131,6.073256033,6.031364807,5.868873502,5.860555442,5.860251258,5.77904753,5.82951455,5.919413049,5.898168542,5.859758585,5.782165933
